A950180,SNK,미디어 및 엔터,Y,N,N,N
A353200,대덕전자,IT 장비 및 소재,Y,N,N,N
A048260,오스템임플란트,의료기기 및 용품,Y,N,N,N
A145720,덴티움,의료기기 및 용품,Y,N,N,N
A182400,엔케이맥스,의료기기 및 용품,Y,N,N,N
A131970,테스나,반도체 관련장비 및 부품,Y,N,N,N
A267270,현대건설기계,기계,Y,N,N,N
A033180,필룩스,전기 및 전자기기,Y,N,N,N
A095610,테스,반도체 관련장비 및 부품,Y,N,N,N
A145990,삼양사,식음료,Y,N,N,N
A078600,대주전자재료,IT 장비 및 소재,Y,N,N,N
A068240,다원시스,기계,Y,N,N,N
A042700,한미반도체,반도체 관련장비 및 부품,Y,N,N,N
A005880,대한해운,운송 및 물류,Y,N,N,N
A084680,이월드,레저산업,Y,N,N,N
A215200,메가스터디교육,일반서비스,Y,N,N,N
A027410,BGF,지주사,Y,Y,N,N
A071320,지역난방공사,유틸리티,Y,N,N,N
A038540,상상인,IT서비스,Y,N,N,N
A039840,디오,의료기기 및 용품,Y,N,N,N
A045390,대아티아이,운송 및 물류,Y,N,N,N
A004490,세방전지,자동차 및 관련부품,Y,N,N,N
A215000,골프존,레저산업,Y,N,N,N
A230240,에치에프알,통신,Y,N,N,N
A011000,진원생명과학,제약 및 바이오,Y,N,N,N
A026890,디피씨,IT 장비 및 소재,Y,N,N,N
A001720,신영증권,금융,Y,N,Y,N
A102710,이엔에프테크놀로지,반도체 관련장비 및 부품,Y,N,N,N
A001430,세아베스틸,철강 및 비철강,Y,N,N,N
A023890,한국아트라스비엑스,자동차 및 관련부품,Y,N,N,N
A102940,코오롱생명과학,제약 및 바이오,Y,N,N,N
A002270,롯데푸드,식음료,Y,N,N,N
A024720,한국콜마홀딩스,지주사,Y,Y,N,N
A003530,한화투자증권,금융,Y,N,Y,N
A174900,앱클론,제약 및 바이오,Y,N,N,N
A281820,케이씨텍,반도체 관련장비 및 부품,Y,N,N,N
A200230,텔콘RF제약,통신,Y,N,N,N
A053030,바이넥스,제약 및 바이오,Y,N,N,N
A000020,동화약품,제약 및 바이오,Y,N,N,N
A009290,광동제약,제약 및 바이오,Y,N,N,N
A192440,슈피겐코리아,IT 장비 및 소재,Y,N,N,N
A093050,LF,섬유 및 의류,Y,N,N,N
A025540,한국단자,자동차 및 관련부품,Y,N,N,N
A038500,삼표시멘트,건설 및 건축자재,Y,N,N,N
